Year,Value,Category,Metric,Statistic
2011,7.7,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,4.8,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,10.3,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,9.3,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,9.5,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,10.2,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,8.8,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,11.7,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,15.4,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,7.4,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,4.6,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,9.2,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,9,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,9.5,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,9.1,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,8.5,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,11.6,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,13.9,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,7.3,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,4.7,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,8.9,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,9.6,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,9,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,8.8,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,8.2,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,11.8,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,14.1,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,7.2,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,4.5,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,8.8,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,9.5,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,9.5,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,9,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,7.4,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,12.5,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,14.8,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,7.1,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,4.3,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,8.6,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,9.5,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,8.6,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,8.7,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,7.7,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,12.3,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,15.1,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,6.9,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,4.2,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,9.4,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,8.6,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,7.8,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,8.9,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,7.2,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,12.5,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,15.6,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,6.9,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,4.4,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,9.3,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,8.3,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,8.5,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,7.8,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,6.9,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,12.6,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,15.5,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,6.7,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,4.1,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,8.9,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,7.7,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,8.3,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,7.9,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,6.6,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,12,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,14.4,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,6.5,All Countries,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,4.1,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,9,France,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,7.4,Germany,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,7.9,Italy,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,7.5,Other Europe (14),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,6.4,United States and Canada,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,11.6,Australia and New Zealand,Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,13.5,Other countries (18),Area of Residence,Average Length of Stay by Overseas Travellers to Ireland (Nights)
1983,8.4,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1983,12.8,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1983,10.4,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1983,11.2,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1984,8.6,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1984,11.8,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1984,10.3,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1984,13.4,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1985,8.7,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1985,12.8,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1985,10.2,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1985,12.3,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1986,8.4,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1986,13,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1986,11.2,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1986,12,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1987,8,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1987,11.4,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1987,11,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1987,14.8,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1988,7.5,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1988,12,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1988,10.5,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1988,14.4,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1989,7.6,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1989,12.8,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1989,11.1,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1989,15.2,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1990,7.6,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1990,12.6,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1990,10.5,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1990,14.4,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1991,7.9,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1991,13.3,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1991,11.4,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1991,16.3,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1992,7.7,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1992,12.7,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1992,10.7,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1992,13.5,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1993,7.1,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1993,12.6,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1993,10.1,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1993,13,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1994,7,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1994,12,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1994,10.6,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1994,13.3,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1995,6.6,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1995,11.5,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1995,10.3,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1995,12.6,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1996,6.9,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1996,11.8,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1996,10.1,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1996,12.4,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1997,6.8,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1997,11.3,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1997,9.9,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1997,12.1,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1998,6.3,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1998,10.8,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1998,9.6,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1998,12,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1999,5.8,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1999,10.3,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1999,9.5,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
1999,11.5,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2000,5.7,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2000,10,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2000,9.6,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2000,11.6,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2001,5.6,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2001,11.1,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2001,9.7,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2001,13.8,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2002,5.3,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2002,11.2,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2002,9.6,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2002,15.1,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2003,5.2,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2003,11.1,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2003,10,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2003,15.9,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2004,5,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2004,10.5,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2004,9.3,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2004,14,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2005,4.8,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2005,10.9,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2005,9.5,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2005,13.4,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2006,4.8,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2006,11.2,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2006,9,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2006,12.4,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2007,4.7,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2007,9.6,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2007,9.1,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2007,14.5,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2008,4.8,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2008,11.4,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2008,9.3,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2008,15.2,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2009,4.8,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2009,9.9,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2009,9,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2009,15.3,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2010,5,Great Britain,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2010,10,Other Europe,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2010,9.3,USA and Canada,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2010,14.5,Other Areas,Area of Residence,Average Length of Stay in Nights by Visitors to Ireland (Nights)
2011,2899,All Countries,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,830,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,197,France,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,241,Germany,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,102,Italy,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,580,Other Europe (14),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,679,United States and Canada,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,117,Australia and New Zealand,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,154,Other countries (18),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,2916,All Countries,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,819,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,189,France,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,227,Germany,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,108,Italy,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,544,Other Europe (14),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,742,United States and Canada,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,133,Australia and New Zealand,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,155,Other countries (18),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,3262,All Countries,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,847,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,200,France,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,286,Germany,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,119,Italy,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,629,Other Europe (14),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,822,United States and Canada,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,168,Australia and New Zealand,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,191,Other countries (18),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,3548,All Countries,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,885,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,202,France,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,334,Germany,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,132,Italy,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,639,Other Europe (14),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,935,United States and Canada,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,177,Australia and New Zealand,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,244,Other countries (18),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,4208,All Countries,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,971,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,236,France,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,397,Germany,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,153,Italy,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,771,Other Europe (14),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,1197,United States and Canada,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,200,Australia and New Zealand,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,283,Other countries (18),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,4577,All Countries,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,1061,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,274,France,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,388,Germany,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,175,Italy,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,821,Other Europe (14),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,1335,United States and Canada,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,204,Australia and New Zealand,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,319,Other countries (18),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,4874,All Countries,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,1007,"Great Britain (includes England, Scotland, Wales)",Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,295,France,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,399,Germany,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,190,Italy,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,883,Other Europe (14),Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,1523,United States and Canada,Area of Residence,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
