Year,Value,Category,Metric,Statistic
2000,13.2,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2001,1594,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2001,3177,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2001,7.4,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2001,648,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2001,1566,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2001,8.4,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2001,460,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2001,975,Business,Reason for Journey,Visitors to Ireland (Thousand)
2001,5.9,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2001,191,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2001,273,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
2001,16.5,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2002,1696,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2002,3242,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2002,7.1,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2002,675,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2002,1603,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2002,8.1,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2002,445,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2002,906,Business,Reason for Journey,Visitors to Ireland (Thousand)
2002,5.9,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2002,230,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2002,314,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
2002,16.7,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2003,1779,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2003,3334,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2003,7.1,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2003,708,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2003,1736,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2003,7.8,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2003,402,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2003,854,Business,Reason for Journey,Visitors to Ireland (Thousand)
2003,5.6,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2003,309,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2003,445,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
2003,16.8,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2004,1774,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2004,3413,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2004,7,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2004,755,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2004,1807,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2004,7.9,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2004,424,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2004,926,Business,Reason for Journey,Visitors to Ireland (Thousand)
2004,5.4,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2004,251,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2004,429,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
2004,13.6,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2005,1822,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2005,3428,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2005,7.1,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2005,884,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2005,2125,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2005,8.2,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2005,457,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2005,967,Business,Reason for Journey,Visitors to Ireland (Thousand)
2005,5.5,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2005,292,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2005,457,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
2005,12.2,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2006,2029,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2006,3775,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2006,7,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2006,936,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2006,2323,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2006,8.5,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2006,473,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2006,1100,Business,Reason for Journey,Visitors to Ireland (Thousand)
2006,4.2,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2006,353,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2006,511,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
2006,15.8,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2007,2108,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2007,4035,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2007,6.8,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2007,914,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2007,2247,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2007,7.9,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2007,554,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2007,1211,Business,Reason for Journey,Visitors to Ireland (Thousand)
2007,5.2,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2007,344,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2007,519,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
2007,13.1,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2008,1939,Holiday/leisure/recreation,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2008,3698,Holiday/leisure/recreation,Reason for Journey,Visitors to Ireland (Thousand)
2008,7.1,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2008,899,Visit to friends/relatives,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2008,2276,Visit to friends/relatives,Reason for Journey,Visitors to Ireland (Thousand)
2008,8.3,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2008,594,Business,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2008,1334,Business,Reason for Journey,Visitors to Ireland (Thousand)
2008,4.7,Business,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2008,402,Other reason for journey,Reason for Journey,Expenditure by Vistors to Ireland (Euro Million)
2008,531,Other reason for journey,Reason for Journey,Visitors to Ireland (Thousand)
2008,23,Other reason for journey,Reason for Journey,Average Length of Stay by Visitors to Ireland (Nights)
2009,6907,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2009,7.6,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2009,3410,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2009,2816,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2009,7.1,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2009,1550,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2009,2513,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2009,7.7,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2009,955,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2009,1119,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2009,5,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2009,528,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2009,460,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2009,17.2,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2009,378,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2010,6139,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2010,7.8,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2010,2976,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2010,2520,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2010,7.3,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2010,1472,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2010,1993,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2010,7.9,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2010,743,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2010,1038,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2010,5.4,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2010,460,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2010,589,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2010,13.9,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2010,301,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,6505,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2011,7.7,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,2899,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,2728,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2011,6.9,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,1457,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,1973,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2011,7.5,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,641,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,1098,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2011,5.1,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,478,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2011,705,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2011,15.6,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2011,324,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,6517,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2012,7.4,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,2916,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,2832,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2012,6.6,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,1513,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,1818,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2012,7.3,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,588,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,1182,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2012,5,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,529,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2012,685,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2012,14.8,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2012,287,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,6986,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2013,7.3,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,3262,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,3059,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2013,6.6,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,1687,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,2015,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2013,7.3,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,670,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,1242,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2013,5.4,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,580,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2013,670,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2013,14,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2013,324,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,7604,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2014,7.2,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,3548,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,3324,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2014,6.6,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,1823,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,2209,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2014,7.4,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,784,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,1282,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2014,5.6,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,587,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2014,789,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2014,12.1,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2014,353,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,8643,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2015,7.1,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,4208,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,4001,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2015,6.5,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,2330,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,2297,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2015,7.3,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,803,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,1441,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2015,5.3,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,675,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2015,904,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2015,11.9,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2015,400,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,9584,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2016,6.9,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,4577,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,4388,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2016,6.4,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,2547,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,2553,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2016,7.2,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,864,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,1539,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2016,5.7,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,724,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2016,1105,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2016,10,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2016,443,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,9932,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2017,6.9,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,4874,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,4710,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2017,6.4,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,2758,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,2566,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2017,7.2,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,895,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,1478,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2017,6.1,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,766,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2017,1178,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2017,9.4,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2017,456,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2018,10616,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2018,6.7,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,5149,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2018,5235,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2018,6.3,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,3105,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2018,2655,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2018,7.1,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,881,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2018,1432,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2018,6.2,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,744,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2018,1294,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2018,8.1,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2018,419,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2019,10808,All reasons for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2019,6.5,All reasons for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,5101,All reasons for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2019,5216,Holiday/leisure/recreation,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2019,6.1,Holiday/leisure/recreation,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,3074,Holiday/leisure/recreation,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2019,2667,Visit to friends/relatives,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2019,7.1,Visit to friends/relatives,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,907,Visit to friends/relatives,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2019,1485,Business,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2019,5.9,Business,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,721,Business,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)
2019,1440,Other reason for journey,Reason for Journey,Overseas Trips to Ireland by Non-Residents (Thousand)
2019,7.4,Other reason for journey,Reason for Journey,Average Length of Stay by Overseas Travellers to Ireland (Nights)
2019,398,Other reason for journey,Reason for Journey,Expenditure by Overseas Travellers in Ireland (excluding fares) (Euro Million)