Year,Quarter,Category,Value
2019,Q1,All reasons for journey,2027
2019,Q1,Business,390
2019,Q1,Visit to friends/relatives,543
2019,Q1,Holiday/leisure/recreation,827
2019,Q1,Other reason for journey,267
2019,Q2,All reasons for journey,3022
2019,Q2,Business,365
2019,Q2,Visit to friends/relatives,695
2019,Q2,Holiday/leisure/recreation,1551
2019,Q2,Other reason for journey,411
2019,Q3,All reasons for journey,3334
2019,Q3,Business,350
2019,Q3,Visit to friends/relatives,741
2019,Q3,Holiday/leisure/recreation,1798
2019,Q3,Other reason for journey,444
2019,Q4,All reasons for journey,2425
2019,Q4,Business,379
2019,Q4,Visit to friends/relatives,688
2019,Q4,Holiday/leisure/recreation,1040
2019,Q4,Other reason for journey,318